,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
1122016,3082912,1687616,1905680,2842336,2411024,1419488,2188592,1682128,2951088,1694000
1123696,1725696,3948896,2814336,2366896,1900752,1869728,2418528,2291632,2424128,2943024
1124144,2164512,1729168,2524816,2798768,1865584,2580704,2110528,1700272,2224320,1557584
1126608,4187904,3083136,1548960,2803360,1135568,1666896,1940512,1534624,3125808,2876272
1128400,3066224,1729280,3772272,1693104,2852192,1725472,2158688,4073888,1694112,2930256
1133888,1948128,1685040,2110304,2842448,1922592,2521792,2129008,1728944,3931648,1681456
1134000,1907024,2083536,2847152,2414048,1413888,2061696,3487344,2041648,1490048,1377824
1136576,1666896,2271136,2189040,1477280,1383872,1534624,3554432,2725296,1662976,1531600
1139824,1639680,2098096,3083136,1597904,3491488,2754752,2459632,2445072,3483536,2373168
1141168,2578016,2953216,2548112,2306640,2424912,1650768,1545824,2232832,1676528,1429120
1143520,2308432,1671376,1685824,1922592,1420048,2935744,2043664,1775872,3554208,1677424
1144080,2280432,1779120,2816352,1916320,2877952,2409008,3610768,1775088,3066224,1964368
1147664,1691200,3151008,3554320,2140544,2859808,2048928,1394960,1927296,4028976,1409744
1150464,2532208,3483536,1755936,3130848,1677872,1650992,1432704,1902880,2715664,1126608
1150912,1921024,2067520,3783808,1918448,2074352,2842000,2801344,2911888,2945376,1859760
1153824,2079280,3083136,3864560,1536192,4125632,2451680,2140096,3967712,1801520,1554224
1155504,2336432,2182544,2889376,2964416,2824864,1621424,2703792,2073904,1599136,1769264
1155840,1685712,2055200,1968400,1137360,2860144,1463952,1416128,1445360,2291744,1125600
1156624,2399712,4126976,2548112,1932448,1885184,1452752,3966928,2097536,2703792,2110976
1158640,2494464,3083360,2299920,2110528,2438016,1396192,2447536,1536528,2464224,1729280
1161104,2086336,2257472,3309712,1436176,2555280,3930080,1914976,1545600,1571360,2492000
1161664,2755760,1136016,2946608,2496592,3851232,2407776,2387168,1542800,2869104,4040064
1163456,1364496,1377824,2118144,2083536,3406592,1741936,3713248,4012400,3554096,1622208
1163792,2362192,1939056,2505888,1516816,2853760,1678208,1693888,1668352,2111200,1676304
1164352,2109744,1685488,1384656,1622208,2271472,2543184,2699200,1603504,2304400,2442048
1164912,3070592,3415664,1734768,1120784,3345664,2305072,1630160,2154992,4120592,3430560
1167712,2952096,1984864,2637712,3712240,2234512,2356592,1859760,2572976,2280432,1906576
1169728,2251536,1969856,2964416,2852192,2580704,1647968,1566208,3108000,1921024,3968832
1174208,2080064,2380448,1858528,1745856,1589392,1688960,2894192,1401344,1885968,1863680
1174544,2527728,1918448,3469984,3410400,2227680,2931040,2709616,1532384,4073888,4114768
1174880,3064208,1976352,4043536,3967264,1385440,3490928,2034704,1485568,1635760,1900528
1175552,1885184,1435616,2821280,2957248,2937424,2445296,2413264,2399712,2300592,1621088
1175776,2256240,2860816,1429120,3310160,3741360,2394560,1566096,1120672,1384992,1566544
1179024,2516640,2142784,1676528,1136016,1618288,1429120,2226784,2438912,1718528,2069760
1179808,1551200,1939056,1690864,1771728,2359952,3164224,1424976,2319408,3127824,1905680
1180480,1935584,2251088,1418928,1903888,1683808,1908816,1773296,3064096,1378384,1428560
1183280,1126720,1459472,2139760,2316720,1471680,1136016,2118144,2421216,2481024,1702064
1183840,2414720,1828288,3832192,1597904,3562160,2715776,2845808,3137568,1534848,2027872
1184176,2817584,1698032,3131408,1386784,2947504,1554000,1900752,2583392,3555104,1996624
1185408,3967264,1133216,3430448,1125824,2821616,1373904,3173072,1431248,2224208,1537760
1185744,1939952,1387904,1375248,2397248,2098096,2019248,1492288,1378832,3148768,1816528
1186640,1681344,4008928,3741808,3949008,1379056,1453424,2077264,2851520,1125936,3130736
1186976,2285808,3310160,4007584,3424064,1361472,2069760,2546432,2299920,2398480,3352272
1188880,1350496,2426032,3411408,2251984,1701056,1559152,2252768,2242240,2720480,2509136
1189216,1618288,2414160,3558576,2887472,1949920,1635312,1397760,2118928,1655248,2429392
1193360,1629712,1681344,2276848,3487344,1405600,2521792,1964928,2086448,1618736,2550688
1194816,1388352,2388512,1598464,2566592,2638944,2049824,1131872,3373664,1995728,1700272
1195936,1605072,1397760,2468592,3131184,2557968,1760416,3901632,3178896,1965712,1971200
1198624,1129296,2234736,2708160,2265984,2839424,1684928,2397696,1553776,1574496,2232720
1201648,2240336,1664656,2122848,2409792,1420160,1548960,3698576,2222528,3154480,3149888
1202320,1676304,2306864,2188592,3889312,2073344,3483312,4043536,2284912,3130960,1413776
1204224,1429120,2351776,2109408,2306640,1856960,2271472,3082912,2854880,4081616,1983632
1206464,1968176,1692880,2838080,2055984,2005584,1773744,1589952,1565760,2839984,4073888
1207584,2946608,2314144,2317952,2362192,1560272,2498608,1717744,1752016,1763328,2448544
1211840,1492400,2928240,3352160,2889712,2888368,2236528,3158400,2359840,2566704,1768368
