,customer_id,Recency_flag,Freq_flag,monetary_flag
0,1121904,4,1,1
1,1122016,1,2,3
2,1122128,5,2,1
3,1122352,5,2,2
4,1123248,5,2,4
5,1123696,5,4,5
6,1124144,5,4,5
7,1124256,5,2,5
8,1124592,5,5,5
9,1126608,5,4,5
10,1128400,5,4,4
11,1128512,3,4,5
12,1129072,4,1,1
13,1129296,5,5,5
14,1132320,5,2,4
15,1133888,1,2,2
16,1134000,5,5,5
17,1134224,1,2,1
18,1136576,3,2,5
19,1136688,4,4,2
20,1139376,5,2,4
21,1139824,4,2,5
22,1139936,5,2,3
23,1140160,4,3,5
24,1140384,2,4,5
25,1140608,5,3,4
26,1141168,5,5,5
27,1142176,3,5,5
28,1142848,5,5,4
29,1143520,5,5,5
30,1144080,5,5,5
31,1145312,2,3,2
32,1145536,5,4,3
33,1145872,4,1,3
34,1147664,4,2,3
35,1150464,4,3,4
36,1150912,4,2,5
37,1151360,4,2,5
38,1152368,4,2,2
39,1153824,5,3,4
40,1155168,5,2,5
41,1155392,5,5,5
42,1155504,5,4,5
43,1155840,5,3,5
44,1156176,5,4,3
45,1156512,5,2,5
46,1156624,5,4,5
47,1158640,1,2,3
48,1158864,4,2,4
49,1159648,1,3,4
50,1161104,1,1,3
51,1161664,5,3,5
52,1162336,4,3,5
53,1163456,5,2,2
54,1163792,5,5,5
55,1164352,1,1,1
56,1164912,5,4,5
57,1165024,5,2,5
58,1166144,5,4,5
59,1167712,3,3,2
60,1167824,4,5,5
61,1169728,4,3,3
62,1171408,5,4,5
63,1171968,5,5,5
64,1173088,5,4,5
65,1174208,4,1,1
66,1174544,5,5,5
67,1174880,5,2,2
68,1174992,1,2,1
69,1175552,4,3,5
70,1175776,5,4,5
71,1176672,5,5,5
72,1179024,4,3,5
73,1179696,5,5,5
74,1179808,4,2,3
75,1180480,4,3,3
76,1183280,4,3,4
77,1183840,2,2,2
78,1184176,4,2,2
79,1185408,5,4,5
80,1185744,3,2,2
81,1186640,5,5,5
82,1186976,5,2,4
83,1187200,3,3,2
84,1188880,3,4,5
85,1189216,1,2,1
86,1189776,4,1,2
87,1190112,3,2,1
88,1193360,4,3,5
89,1194032,4,3,5
90,1194816,5,5,5
91,1194928,5,1,4
92,1195600,4,5,5
93,1195936,4,3,2
94,1198624,5,5,5
95,1198736,5,3,2
96,1200528,1,1,2
97,1201648,5,5,5
98,1202320,5,4,4
99,1204224,4,5,5
100,1206464,5,5,5
101,1207584,4,4,2
102,1208144,5,5,3
103,1209152,5,2,4
104,1211840,4,3,4
105,1213184,5,5,4
106,1213856,1,2,3
107,1214528,3,2,4
108,1214640,4,5,5
109,1214976,4,3,5
110,1217552,4,1,5
111,1217776,5,5,4
112,1219344,4,3,2
113,1220016,5,2,3
114,1220576,4,2,5
115,1220912,1,2,5
116,1221920,5,3,4
117,1222928,4,2,1
118,1223264,1,2,2
119,1224608,5,3,5
120,1225392,4,2,1
121,1227856,1,2,4
122,1228416,4,1,4
123,1229424,4,2,2
124,1230880,2,1,3
125,1231664,4,5,5
126,1233568,5,2,3
127,1235696,5,3,5
128,1236256,4,1,3
129,1240960,5,4,3
130,1241296,5,5,5
131,1242864,1,1,5
132,1244544,4,2,5
133,1244880,5,3,5
134,1247680,5,4,5
135,1251824,4,2,4
136,1252720,4,2,3
137,1257536,4,2,3
138,1259216,4,4,5
139,1259328,5,5,5
140,1260560,5,4,5
141,1261008,5,2,2
142,1262464,4,4,5
143,1265040,5,1,1
144,1265600,5,1,5
