,index,customer_id,society_id,city_id
0,0,2698080,1127168,1120112
1,1,1134224,1120224,1120112
2,2,3686704,1126160,1120112
3,3,4045328,1137360,1120112
4,4,3568656,1120784,1120112
5,5,3641008,1127168,1120112
6,6,4921952,1136016,1120112
7,7,2461312,1121232,1120112
8,8,1588384,1121568,1120112
9,9,3058944,1122128,1120112
10,10,3892112,1120896,1120112
11,11,3181696,1127840,1120112
12,12,4082176,1141056,1120112
13,13,2706928,1127504,1120112
14,14,4615296,1156624,1120112
15,15,1577968,1123360,1120112
16,16,1504720,1121680,1120112
17,17,4034688,1127168,1120112
18,18,3580416,1129856,1120112
19,19,2371264,1127504,1120112
20,20,1540448,1123248,1120112
21,21,4469696,1126048,1120112
22,22,4643744,1120112,1120112
23,23,4275600,1123360,1120112
24,25,1712816,1123136,1120112
25,26,1777328,1122464,1120112
26,27,3843840,1120112,1120112
27,28,2548000,1130864,1120112
28,29,3749648,1160992,1120112
29,30,1597232,1123248,1120112
30,32,3558016,1125712,1120112
31,33,1612576,1122016,1120112
32,37,4273584,1127728,1120112
33,38,2862272,1135904,1120112
34,40,4349408,1125264,1120112
35,41,3565408,1121232,1120112
36,44,2792048,1126384,1120112
37,45,2850960,1122912,1120112
38,47,2000656,1122912,1120112
39,48,2259040,1122464,1120112
40,49,1819328,1124368,1120112
41,50,4845232,1139824,1120112
42,52,3750656,1120112,1120112
43,53,2208528,1155728,1120112
44,54,4642064,1139936,1120112
45,55,4757536,1121232,1120112
46,56,4012736,1156736,1120112
47,59,3309376,1122016,1120112
48,60,1322384,1120112,1120112
49,61,1692992,1126160,1120112
50,63,3938256,1121792,1120112
51,65,3450944,1128736,1120112
52,66,3875984,1133216,1120112
53,68,1756608,1122464,1120112
54,69,4100880,1141056,1120112
55,70,2933392,1127504,1120112
56,72,4255104,1141056,1120112
57,74,3039904,1120784,1120112
58,75,4915232,1134000,1120112
59,76,3727808,1133216,1120112
60,77,2499952,1124144,1120112
61,78,2043888,1122912,1120112
62,79,1354080,1122016,1120112
63,80,4792032,1136464,1120112
64,81,2459856,1136464,1120112
65,82,4569040,1135568,1120112
66,84,4738272,1155616,1120112
67,85,1220912,1120336,1120112
68,86,2839088,1132320,1120112
69,88,4915568,1122240,1120112
70,90,2403520,1122912,1120112
71,91,4747456,1140384,1120112
72,93,1121904,1120112,1120112
73,94,2191392,1122464,1120112
74,95,1801968,1120112,1120112
75,96,3199952,1122240,1120112
76,97,1370880,1122800,1120112
77,98,3987648,1122016,1120112
78,99,1354752,1121792,1120112
79,100,4247040,1139488,1120112
80,101,3889200,1137696,1120112
81,102,3988208,1122016,1120112
82,104,4939536,1142624,1120112
83,107,4510240,1125712,1120112
84,108,2971920,1120336,1120112
85,110,3899616,1127728,1120112
86,111,1891008,1127728,1120112
87,112,1944208,1123920,1120112
88,113,2803360,1122464,1120112
89,114,3572464,1130864,1120112
90,115,1184176,1120112,1120112
91,116,2310560,1125936,1120112
92,118,4201792,1123248,1120112
93,121,1174880,1120336,1120112
94,122,1133888,1120224,1120112
95,124,3754688,1124704,1120112
96,125,4693472,1122464,1120112
97,126,4764928,1142624,1120112
98,129,3425632,1122464,1120112
99,132,1768144,1122464,1120112
100,133,1994608,1121792,1120112
101,134,3464944,1123920,1120112
102,135,3590944,1127504,1120112
103,136,2040528,1120336,1120112
104,137,3172624,1127840,1120112
105,139,3460688,1127840,1120112
106,140,3300304,1120336,1120112
107,142,3327520,1121232,1120112
108,143,3607632,1127840,1120112
109,146,1405936,1120896,1120112
110,153,3899392,1127392,1120112
111,154,1200528,1121008,1120112
112,156,4460064,1141056,1120112
113,158,4861248,1134672,1120112
114,163,1864912,1120112,1120112
115,165,2624160,1122240,1120112
116,167,2076144,1120112,1120112
117,168,1959328,1130080,1120112
118,170,3564848,1127840,1120112
119,171,1919568,1121904,1120112
