customer_id,Sub_flag,subscription,Recency_flag,Refreq,points
1129296,25,0,5,5,6
1134000,25,0,2,4,12
1142176,25,0,5,5,17
1143520,25,0,5,4,7
1144080,25,0,5,5,15
1155392,25,0,4,0,15
1163792,25,0,4,0,2
1176672,25,0,5,4,10
1179696,25,0,5,5,6
1194816,25,0,5,4,12
1195600,25,0,5,5,9
1198624,25,0,3,0,4
1201648,25,0,5,0,2
1214640,25,0,5,0,9
1231664,25,0,4,0,10
1241296,25,0,5,5,6
1285648,25,0,5,4,14
1294608,25,0,5,0,3
1303120,25,0,5,0,4
1321264,25,0,5,5,20
1341424,25,0,5,0,4
1344896,25,0,5,0,3
1346912,25,0,5,5,17
1357664,25,0,4,0,3
1373680,25,0,5,4,14
1391040,25,0,1,5,17
1447600,25,0,4,0,6
1493744,25,0,5,4,7
1495760,25,0,5,5,11
1496768,25,0,4,0,6
1565648,25,0,5,5,10
1620192,25,0,4,4,12
1621088,25,0,4,5,11
1634976,25,0,5,5,13
1638672,25,0,3,5,9
1668352,25,0,5,4,14
1681232,25,0,5,0,8
1693216,25,0,5,4,5
1694672,25,0,5,0,3
1713264,25,0,1,0,2
1744624,25,0,5,5,11
1773520,25,0,4,5,15
1809920,25,0,3,0,1
1832432,25,0,5,0,4
1836352,25,0,5,0,4
1908704,25,0,4,0,4
1911280,25,0,4,5,15
1936704,25,0,4,0,25
1963248,25,0,4,0,5
1979152,25,0,5,0,2
1983856,25,0,4,5,15
2010848,25,0,4,4,7
2047472,25,0,5,0,8
2054976,25,0,5,4,5
2061136,25,0,1,4,10
2080176,25,0,5,4,6
2119824,25,0,5,0,1
2139536,25,0,2,0,4
2161936,25,0,5,0,2
2168096,25,0,5,5,9
2208080,25,0,5,4,7
2228576,25,0,5,0,12
2232944,25,0,5,4,8
2264416,25,0,4,0,2
2273040,25,0,5,2,14
2306192,25,0,4,5,6
2317056,25,0,5,0,8
2338112,25,0,4,5,9
2345952,25,0,5,4,6
2353344,25,0,5,0,6
2365216,25,0,5,4,8
2366112,25,0,5,5,15
2404416,25,0,5,5,17
2410576,25,0,4,5,15
2444736,25,0,5,3,9
2531872,25,0,4,5,14
2542736,25,0,4,4,16
2549568,25,0,5,0,1
2651040,25,0,5,5,15
2678480,25,0,5,5,6
2725744,25,0,5,4,13
2737392,25,0,4,3,11
2742432,25,0,5,4,5
2756768,25,0,5,5,13
2763376,25,0,5,3,5
2772112,25,0,2,4,12
2784096,25,0,5,4,12
2802800,25,0,5,0,1
2816576,25,0,5,0,1
2895536,25,0,5,4,7
2905840,25,0,5,4,12
2912000,25,0,4,4,8
2913568,25,0,5,0,3
2918720,25,0,5,4,8
2943248,25,0,4,5,13
2947616,25,0,4,4,5
3014368,25,0,5,0,4
3048976,25,0,5,4,9
3130624,25,0,5,0,3
3133536,25,0,5,0,3
3151120,25,0,4,0,10
3266256,25,0,3,0,4
3295376,25,0,4,4,5
