,level_0,index,Sub_flag,subscription,customer_id,Recency_flag,Refreq,points
0,13,2284,25,0,1129296,5,5,6
1,16,4611,25,0,1134000,2,4,12
2,27,1137,25,0,1142176,5,5,17
3,29,1186,25,0,1143520,5,4,7
4,30,2487,25,0,1144080,5,5,15
5,41,8300,25,0,1155392,4,0,15
6,54,210,25,0,1163792,4,0,2
7,71,5790,25,0,1176672,5,4,10
8,73,6653,25,0,1179696,5,5,6
9,90,13976,25,0,1194816,5,4,12
10,92,14250,25,0,1195600,5,5,9
11,94,14714,25,0,1198624,3,0,4
12,97,51,25,0,1201648,5,0,2
13,108,2915,25,0,1214640,5,0,9
14,125,659,25,0,1231664,4,0,10
15,130,5226,25,0,1241296,5,5,6
16,159,21195,25,0,1285648,5,4,14
17,164,25051,25,0,1294608,5,0,3
18,174,1459,25,0,1303120,5,0,4
19,188,5405,25,0,1321264,5,5,20
20,209,15251,25,0,1341424,5,0,4
21,212,5957,25,0,1344896,5,0,3
22,216,17509,25,0,1346912,5,5,17
23,222,10407,25,0,1357664,4,0,3
24,237,24205,25,0,1373680,5,4,14
25,255,1103,25,0,1391040,1,5,17
26,294,5792,25,0,1447600,4,0,6
27,324,6381,25,0,1493744,5,4,7
28,328,7343,25,0,1495760,5,5,11
29,329,7375,25,0,1496768,4,0,6
30,387,8676,25,0,1565648,5,5,10
31,440,17641,25,0,1620192,4,4,12
32,441,17844,25,0,1621088,4,5,11
33,451,20369,25,0,1634976,5,5,13
34,455,21346,25,0,1638672,3,5,9
35,482,5476,25,0,1668352,5,4,14
36,492,15396,25,0,1681232,5,0,8
37,503,26081,25,0,1693216,5,4,5
38,507,2456,25,0,1694672,5,0,3
39,525,741,25,0,1713264,1,0,2
40,545,9209,25,0,1744624,5,5,11
41,570,24751,25,0,1773520,4,5,15
42,600,6496,25,0,1809920,3,0,1
43,626,12189,25,0,1832432,5,0,4
44,631,14376,25,0,1836352,5,0,4
45,679,2967,25,0,1908704,4,0,4
46,683,7532,25,0,1911280,4,5,15
47,696,3530,25,0,1936704,4,0,25
48,720,6958,25,0,1963248,4,0,5
49,736,7781,25,0,1979152,5,0,2
50,743,19023,25,0,1983856,4,5,15
51,775,13501,25,0,2010848,4,4,7
52,811,6522,25,0,2047472,5,0,8
53,822,3383,25,0,2054976,5,4,5
54,831,1703,25,0,2061136,1,4,10
55,843,970,25,0,2080176,5,4,6
56,864,2756,25,0,2119824,5,0,1
57,883,1632,25,0,2139536,2,0,4
58,899,7605,25,0,2161936,5,0,2
59,907,9565,25,0,2168096,5,5,9
60,954,15849,25,0,2208080,5,4,7
61,976,15173,25,0,2228576,5,0,12
62,980,17065,25,0,2232944,5,4,8
63,1005,1744,25,0,2264416,4,0,2
64,1013,3706,25,0,2273040,5,2,14
65,1047,11796,25,0,2306192,4,5,6
66,1054,14546,25,0,2317056,5,0,8
67,1079,22643,25,0,2338112,4,5,9
68,1086,25918,25,0,2345952,5,4,6
69,1093,7973,25,0,2353344,5,0,6
70,1103,25467,25,0,2365216,5,4,8
71,1105,3172,25,0,2366112,5,5,15
72,1143,4617,25,0,2404416,5,5,17
73,1149,6042,25,0,2410576,4,5,15
74,1187,15386,25,0,2444736,5,3,9
75,1260,4240,25,0,2531872,4,5,14
76,1271,11803,25,0,2542736,4,4,16
77,1277,13690,25,0,2549568,5,0,1
78,1369,9797,25,0,2651040,5,5,15
79,1396,13945,25,0,2678480,5,5,6
80,1450,21506,25,0,2725744,5,4,13
81,1459,22209,25,0,2737392,4,3,11
82,1462,22486,25,0,2742432,5,4,5
83,1475,25375,25,0,2756768,5,5,13
84,1481,27306,25,0,2763376,5,3,5
85,1496,7575,25,0,2772112,2,4,12
86,1506,12947,25,0,2784096,5,4,12
87,1524,21950,25,0,2802800,5,0,1
88,1533,26392,25,0,2816576,5,0,1
89,1610,25816,25,0,2895536,5,4,7
90,1626,2684,25,0,2905840,5,4,12
91,1634,4897,25,0,2912000,4,4,8
92,1638,5765,25,0,2913568,5,0,3
93,1645,6741,25,0,2918720,5,4,8
94,1663,10684,25,0,2943248,4,5,13
95,1670,13353,25,0,2947616,4,4,5
96,1734,28484,25,0,3014368,5,0,4
97,1771,775,25,0,3048976,5,4,9
98,1836,9215,25,0,3130624,5,0,3
99,1843,2599,25,0,3133536,5,0,3
100,1859,11360,25,0,3151120,4,0,10
101,1971,18543,25,0,3266256,3,0,4
102,2000,6629,25,0,3295376,4,4,5
103,2056,1166,25,0,3347120,5,0,3
104,2142,28613,25,0,3436944,5,5,7
105,2160,539,25,0,3461136,4,4,24
106,2192,3333,25,0,3492160,5,0,3
107,2214,10898,25,0,3510080,4,4,5
108,2284,5269,25,0,3575712,5,4,5
109,2309,9025,25,0,3601920,5,5,9
