,index,product_id,category_id,subcategory_id,manufacturer_id,selling_price_per_unit
0,0,1120336,1122576,1125264,1122016,16.01
1,1,1939280,1122576,1125152,1134336,8.79
2,2,1681456,1123472,1130640,1150128,25.0
3,3,1120224,1122576,1125264,1122016,20.38
4,4,1120112,1122576,1125264,1122016,25.38
5,7,2080176,1122576,1125264,1122016,22.6
6,8,1125488,1122576,1125376,1134896,63.64
7,9,2199568,1122576,1125376,1126048,32.0
8,10,2223200,1122912,1127392,1148896,16.8
9,11,1741936,1122464,1124144,1134336,96.99
10,12,1902656,1123472,1131312,1150128,19.0
11,13,1668240,1122576,1125376,1134336,22.0
12,14,1685040,1123472,1130640,1150128,12.0
13,16,1672608,1123472,1131312,1150128,30.0
14,20,1571024,1122576,1125264,1124592,29.5
15,21,1684032,1123472,1130640,1150128,5.0
16,23,1125040,1122576,1125040,1128288,58.0
17,24,2122736,1123472,1130640,1150128,5.0
18,25,1686160,1123472,1130640,1150128,8.0
19,27,1366960,1122688,1138704,1136464,21.0
20,28,1371552,1122464,1124704,1186528,49.87
21,29,2165520,1123136,1128960,1149120,116.97
22,30,2118368,1123472,1130640,1150128,7.0
23,31,1683024,1123472,1130640,1150128,8.0
24,33,2026640,1122576,1125264,1122016,20.35
25,34,2035488,1122464,1124816,1137360,20.5
26,36,1121008,1122576,1125264,1134896,70.42
27,37,1683808,1123472,1130640,1150128,5.0
28,39,2118816,1123472,1130640,1150128,16.0
29,40,1379840,1122576,1125040,1134336,53.09
30,41,1124256,1122576,1124928,1122016,40.66
31,43,1647632,1123472,1131312,1150128,70.0
32,44,2219952,1123472,1130640,1150128,18.0
33,45,1684256,1123472,1130640,1150128,4.0
34,46,1681904,1123472,1130640,1150128,5.0
35,50,2207184,1123472,1130640,1150128,15.0
36,51,1120560,1122576,1125264,1134336,20.01
37,54,2165968,1122576,1125376,1122016,21.9
38,55,1933568,1122576,1125376,1134336,35.2
39,56,1845648,1123024,1128064,1136352,147.32
40,57,1688064,1123472,1130640,1150128,11.0
41,59,2333744,1123472,1137808,1150128,50.0
42,61,2081408,1122464,1124816,1134896,45.87
43,64,1707888,1122576,1125264,1134336,20.01
44,66,1120672,1122576,1125264,1134336,17.01
45,71,1694560,1123472,1131312,1150128,140.0
46,72,2255568,1122464,1124144,1152592,110.5
47,73,1690080,1123472,1131312,1150128,50.0
48,77,2186016,1123472,1131312,1150128,110.0
49,78,1722448,1122464,1124480,1150128,38.4
50,79,1685824,1123472,1137808,1150128,30.0
51,80,1966160,1122576,1125264,1145424,72.0
52,82,1612016,1122464,1124704,1186528,246.75
53,84,1693776,1123472,1131312,1150128,55.0
54,86,2049488,1122576,1125264,1146992,25.5
55,87,1683696,1123472,1130640,1150128,5.0
56,89,1371328,1122464,1124704,1138144,16.38
57,90,1695568,1123472,1131312,1150128,155.0
58,91,1626912,1124480,1126272,1136352,85.73
59,92,1686720,1123472,1137808,1150128,50.0
60,93,1120896,1122688,1125488,1129072,26.75
61,97,2096416,1122912,1127280,1135904,4.75
62,98,1120448,1122576,1125264,1134336,25.01
63,99,2166080,1122576,1125152,1122016,8.1
64,103,1418032,1122912,1127280,1123248,24.63
65,105,1687392,1123472,1130640,1150128,5.0
66,106,1666448,1123472,1130640,1150128,15.0
67,108,1693888,1123472,1130640,1150128,30.0
68,109,2160144,1124480,1126272,1140496,14.8
69,110,1371216,1122464,1124704,1138144,27.1
70,115,1670032,1123472,1131312,1150128,38.0
71,116,1121120,1122688,1125488,1129072,16.8
72,117,2356816,1122576,1125264,1156064,27.9
73,120,1687504,1123472,1130640,1150128,25.0
74,127,2119264,1123472,1130640,1150128,5.0
75,131,1122464,1122688,1125488,1129072,42.0
76,135,1666224,1122576,1125376,1134896,27.27
77,136,1120784,1122688,1125488,1129072,23.4
78,137,1132320,1122912,1127280,1123248,35.71
79,140,2109744,1122464,1124816,1148224,24.75
80,141,1688624,1123472,1130640,1150128,5.0
81,143,1682688,1123472,1130640,1150128,75.0
82,145,2072448,1123024,1127952,1135120,0.0
83,150,1872976,1122576,1125040,1122016,52.13
84,151,2361744,1122464,1124144,1130528,0.0
85,156,1688960,1123472,1130640,1150128,8.0
86,161,1673952,1122688,1125488,1122688,23.0
87,163,1915760,1123472,1132992,1141952,53.89
88,164,1684816,1123472,1130640,1150128,12.0
89,169,1931776,1122576,1124928,1122016,48.29
90,172,1926288,1122688,1125600,1142512,29.25
91,173,1745856,1122464,1124144,1135904,107.65
92,180,2332960,1124480,1126160,1149344,25.96
93,181,1667008,1122688,1125488,1129072,22.0
94,186,2028320,1123024,1128288,1124368,0.0
95,188,1676304,1122688,1125488,1122688,42.0
96,191,1917552,1123248,1126048,1135232,133.0
97,196,1122576,1122688,1125488,1129072,21.3
98,197,2043664,1122576,1125376,1128288,24.0
99,200,2049376,1122576,1125264,1146992,19.8
100,202,1673840,1122688,1125488,1122688,23.0
101,203,1570912,1122576,1125264,1124592,24.0
102,208,1677536,1122576,1125152,1134336,14.0
103,209,1966048,1122576,1125040,1172192,42.0
104,211,2061920,1123472,1131312,1150128,20.0
105,213,2377088,1122576,1124928,1134336,63.7
106,214,1708336,1123472,1130640,1150128,25.0
107,215,1617728,1122464,1124816,1137360,47.8
108,216,2351776,1123136,1130304,1134896,21.81
109,219,1971536,1122688,1125488,1122688,27.0
110,221,2122848,1123472,1130640,1150128,12.0
111,227,1399216,1124480,1126272,1140496,50.92
112,229,1650992,1123472,1130640,1150128,8.0
