,customer_id,Recency_flag,monetary_flag
2,1122128,5,1
143,1265040,5,1
262,1399776,5,1
405,1585024,5,1
416,1595440,5,1
602,1811264,5,1
611,1819328,5,1
619,1824256,5,1
649,1867488,5,1
717,1958656,5,1
728,1975232,5,1
735,1979040,5,1
765,2002112,5,1
850,2092496,5,1
858,2105264,5,1
869,2128112,5,1
872,2131696,5,1
917,2176720,5,1
920,2178288,5,1
957,2209760,5,1
1015,2274496,5,1
1056,2317616,5,1
1092,2353232,5,1
1104,2365888,5,1
1108,2370032,5,1
1125,2387616,5,1
1127,2391312,5,1
1128,2391984,5,1
1144,2405088,5,1
1147,2409456,5,1
1167,2426592,5,1
1202,2463216,5,1
1217,2477440,5,1
1242,2511712,5,1
1294,2569280,5,1
1297,2570288,5,1
1298,2572528,5,1
1345,2631552,5,1
1349,2633232,5,1
1367,2649136,5,1
1375,2655744,5,1
1390,2671200,5,1
1423,2700656,5,1
1452,2728320,5,1
1486,2767184,5,1
1513,2790704,5,1
1517,2793840,5,1
1566,2850960,5,1
1571,2856560,5,1
1652,2932272,5,1
1680,2957472,5,1
1696,2974384,5,1
1701,2979648,5,1
1702,2980096,5,1
1731,3011456,5,1
1769,3046288,5,1
1796,3078208,5,1
1816,3107552,5,1
1857,3148320,5,1
1976,3271296,5,1
1977,3271408,5,1
1999,3294928,5,1
2071,3359552,5,1
2102,3397632,5,1
2203,3502912,5,1
2264,3558016,5,1
2343,3635632,5,1
2449,3750320,5,1
2451,3750656,5,1
2458,3758048,5,1
2467,3764880,5,1
2468,3766000,5,1
2470,3767344,5,1
2497,3792208,5,1
2561,3858960,5,1
2569,3867248,5,1
2577,3871504,5,1
2583,3878896,5,1
2595,3888640,5,1
2597,3889200,5,1
2680,3967040,5,1
2695,3985408,5,1
2718,4005568,5,1
2786,4055968,5,1
2813,4081504,5,1
2844,4110288,5,1
2853,4116672,5,1
2905,4167632,5,1
2909,4170656,5,1
2927,4189136,5,1
2983,4244352,5,1
2992,4250736,5,1
2995,4251968,5,1
3011,4265296,5,1
3021,4273584,5,1
3036,4282320,5,1
3051,4298560,5,1
3074,4318944,5,1
3077,4322528,5,1
3138,4370800,5,1
3188,4407536,5,1
3212,4426128,5,1
3239,4449200,5,1
3265,4469808,5,1
3268,4471824,5,1
3392,4590320,5,1
3398,4596592,5,1
3424,4617760,5,1
3426,4618544,5,1
3480,4656848,5,1
3484,4658192,5,1
3492,4664800,5,1
3512,4678800,5,1
3529,4693472,5,1
3572,4726960,5,1
3575,4730768,5,1
3588,4739952,5,1
3612,4756864,5,1
3641,4777808,5,1
3672,4805248,5,1
3689,4816784,5,1
3702,4824512,5,1
3718,4837952,5,1
3731,4850048,5,1
3741,4858672,5,1
3767,4882080,5,1
3789,4897872,5,1
3798,4903808,5,1
3823,4917584,5,1
3832,4923072,5,1
3843,4935056,5,1
3919,5001696,5,1
3937,5015584,5,1
3946,5021520,5,1
3949,5022864,5,1
3967,5033504,5,1
3998,5056688,5,1
4050,5097792,5,1
4062,5107200,5,1
4070,5115936,5,1
4073,5116720,5,1
4077,5118400,5,1
4092,5134976,5,1
4097,5138784,5,1
4115,5154800,5,1
4151,5185040,5,1
